epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1584,3.58305,4.74704,2.13382,0,0,0,0,3.02212,4.89025,1.67082,0.08812,0.00012,0.00012
2,146.079,3.21047,4.36606,1.84549,0,0,0,0,3.33873,4.59867,2.09731,0.0752499,0.000249939,0.000249939
3,210.38,3.10912,4.1819,1.73148,0,0,0,0,3.2175,4.71717,1.7644,0.0623796,0.000379629,0.000379629
4,292.699,3.00244,4.15424,1.67576,0,0,0,0,2.96825,4.57053,1.68996,0.0495089,0.00050888,0.00050888
