epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14401.8,1.74974,9.67778,1.34296,0.0167,0.38516,0.0235,0.00925,1.79284,4.40815,1.56375,0.00333223,0.00333223,0.00333223
2,28460.2,1.36321,3.33999,1.03165,0.00571,0.48528,0.04003,0.02839,1.45484,3.25505,1.29439,0.00653358,0.00653358,0.00653358
3,17171.2,1.42454,3.27752,1.10032,0.02345,0.4311,0.03751,0.02691,1.54319,3.86857,1.34662,0.00960294,0.00960294,0.00960294
4,29746.9,1.39815,3.18254,1.09848,0.00784,0.44582,0.04204,0.03242,1.20181,3.24412,1.27372,0.009406,0.009406,0.009406
5,42157.8,1.25134,3.02456,1.04174,0.01347,0.47291,0.04611,0.03635,1.16972,3.06109,1.20834,0.009208,0.009208,0.009208
6,57124.3,1.14339,2.89439,0.97569,0.02326,0.57951,0.05008,0.04261,1.13461,2.92545,1.13731,0.00901,0.00901,0.00901
