epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.958,2.64373,8.1272,1.61087,0.01705,0.09698,0.0084,0.0048,2.71669,8.50482,1.59577,9.996e-05,9.996e-05,9.996e-05
2,223.385,2.33286,4.85257,1.46106,0.12225,0.07309,0.04931,0.0251,2.50229,6.24732,1.53172,0.000167017,0.000167017,0.000167017
3,326.079,2.23954,4.94644,1.4406,0.14469,0.13629,0.07985,0.0419,2.3577,5.13501,1.49442,0.00019119,0.00019119,0.00019119
